All Public Meetings,,,,,,,"Instructions: Drinks & Agendas; If a public meeting is discussing that city's housing element, add the meeting to our map/database at www.fairhousingelements.org/calendar-form",Week of 6/25,Week of 7/8,Week of 7/16,Week of 8/5,Week of 8/12,Week of 8/26,Week of 1/13,Week of 1/20,Week of 2/03,Week of 3/17,# of agendas checked this week!/Whether Housing Element has been adopted from Jan 31 - today,www.fairhousingelements.org/calendar-form
Alameda,Pleasanton,,City Council,5965,,"1st Tuesday, 3rd Tuesday",http://weblink.cityofpleasantonca.gov/weblink/Browse.aspx?startid=84829&cr=1,JF - No,,,,,,No,,,,,
Alameda,Pleasanton,,Planning Commission,5965,,"2nd Wednesday, 4th Wednesday",http://www.cityofpleasantonca.gov/gov/depts/cd/planning/commission/default.asp,,,,,,,,,Yes,No,LTR,
Alameda,Berkeley,A,Planning Commission,9025,,1st Wednesday,https://www.cityofberkeley.info/Clerk/Commissions/Commissions__Planning_Commission_Homepage.aspx,JF - No,,,,,,,,,,,
Alameda,Berkeley,A,City Council,9025,,"2nd Tuesday, 4th Tuesday",https://www.cityofberkeley.info/berkmtg/,,,,,,,,No,No,No,LTR,
Alameda,Fremont,,City Council,12897,,"1st Tuesday, 2nd Tuesday, 3rd Tuesday",https://www.fremont.gov/government/agenda-center,JF - Cancelled,JF - Cancelled,JF - Cancelled,,,,Yes,,No,,,
Alameda,Fremont,,Planning Commission,12897,,"2nd Thursday, 4th Thursday",https://www.fremont.gov/government/agenda-center/planning-commission,,,,,,,,,Cancelled,No,LTR,
Alameda,Oakland,A,City Council,26493,,"1st Tuesday, 3rd Tuesday",https://oakland.legistar.com/calendar.aspx,JF - No,,,,,,,,,,,
Alameda,Oakland,A,Planning Commission,26493,,"1st Wednesday, 3rd Wednesday",https://www.oaklandca.gov/boards-commissions/planning-commission/meetings,JF - No,,,,,,,,,,,
Alameda,Alameda County,,Board of Supervisors,4758,,"Weekly, Tuesdays 9:30 a.m.",https://bos.acgov.org/regular-meetings/,JF - No,,,,,,,,,,,
Alameda,Unincorporated,,Planning Commission,#N/A,,"1st Monday, 3rd Monday",https://www.acgov.org/cda/planning/agendas.htm,JF - Cancelled,,,,,,,,,,,
Alameda,Albany,,Planning Commission,1125,,"2nd Wednesday, 4th Wednesday",https://www.albanyca.org/our-city/kalb-community-media/public-meeting-video-and-agendas,"Beth_Yes, Added",,,,,,,,No,Cancelled,LTR,
Alameda,Emeryville,,City Council,1832,,Varies,https://www.ci.emeryville.ca.us/citycouncil,JF - No,JF - No,JF - No,LTR - no,,,,,,,,
Alameda,Newark,,City Council,1891,,Varies,https://www.newark.org/departments/city-manager-s-office/agendas-minutes,JF - No,JF - No,JF - No,LTR - no,,,,,,,,
Alameda,Dublin,,City Council,3719,,Varies,https://dublin.ca.gov/1604/Meetings-Agendas-Minutes-Video-on-Demand,JF - No,JF - No,JF - No,LTR - no,,,,,,,,
Alameda,San Leandro,,City Council,3887,,Varies,https://sanleandro.legistar.com/Calendar.aspx,JF - No,JF - No,JF - No,LTR - no,,,,,,,,
Alameda,Livermore,,Planning Commission,4449,,"1st Tuesday, 3rd Tuesday",https://www.livermoreca.gov/departments/city-clerk/advisory-bodies/planning-commission,JF - Yes,,,,,,,,,,,
Alameda,Alameda,A,City Council,5406,,"1st Tuesday, 3rd Tuesday",https://www.alamedaca.gov/GOVERNMENT/Agendas-Minutes-Announcements,JF - No,,,,,,,,,,,
Alameda,Pleasanton,,City Council,5965,,Varies,https://www.cityofpleasantonca.gov/our-government/mayor-city-council/#meetings-city-council-agenda,JF - No,JF - No,JF - No,LTR - no,,,,,,,,
Alameda,Pleasanton,,Planning Commission,5965,,"2nd Wednesday, 4th Wednesday",http://www.cityofpleasantonca.gov/gov/depts/cd/planning/commission/media_page.asp,"BT -- Yes, added.",,,,,,,,No,Cancelled,LTR,
Alameda,Fremont,,City Council,12897,,Varies,https://www.fremont.gov/government/agenda-center/city-council,JF - No,OG - No,JF - No,LTR - no,,,,,,,,
Alameda,Oakland,,City Council,26493,,Varies,https://www.oaklandca.gov/services/view-city-council-meeting-schedule-agendas-minutes-and-video,JF - No,OG - No,JF - No,LTR - no,,,,,,,,
Amador,Plymouth,,City Council,30,,"2nd Thursday, 4th Thursday",https://cityofplymouth.org/agendas-and-reports/,,,,,,,,,TBD,No,LTR,
Amador,Sutter Creek,,City Council,74,,"1st Monday, 3rd Monday",https://cityofsuttercreek.org/agendas-minutes/,JF - Cancelled,,,,,,,,,,,
Amador,Ione,,City Council,117,,"1st Tuesday, 3rd Tuesday",https://www.ione-ca.com/city-government/agendas-and-reports,JF - No,,,,,,,,,,,
Amador,Ione,,Planning Commission,117,,2nd Tuesday,https://www.ione-ca.com/city-government/planning-commission,,,,,,,,,Cancelled,,,
Amador,Jackson,,City Council,138,,"2nd Monday, 4th Monday",https://www.ci.jackson.ca.us/city_services/city_clerk_records.php#outer-187sub-1195,,,,,,,,No - cancelled,No,No,LTR,
Amador,Jackson,,Planning Commission,138,,3rd Monday,https://www.ci.jackson.ca.us/city_services/city_clerk_records.php#,,,,,,,,,,,,
Amador,Amador City,,City Council,#N/A,,"1st Thursday, 2nd Thursday",https://amador-city.com/government-agendas-minutes/,JF - TBD,,,LTR - no,,,,,TBD,,,
Butte,Biggs,,City Council,0,,2nd Tuesday,https://www.biggs-ca.gov/Government/Agendas--Minutes/index.html,,,,,,,,,TBD,,,
Butte,Chico,,Planning Commission,0,,"1st Thursday, 3rd Thursday",https://chico.ca.us/post/2021-agendas,JF - TBD,,,,,,,,,,,
Butte,Chico,,City Council,0,,"1st Tuesday, 3rd Tuesday",https://chico.ca.us/agendas-minutes,JF - TBD,,,,,,,,,,,
Butte,Gridley,,City Council,0,,"1st Monday, 3rd Monday",http://gridley.ca.us/government-and-departments/city-council/,JF - Cancelled,,,,,,,,,,,
Butte,Gridley,,Planning Commission,0,,3rd Wednesday,http://gridley.ca.us/government-and-departments/planning-commission/,,,,,,,,,,,,
Butte,Oroville,,City Council,0,,"1st Tuesday, 2nd Tuesday",https://www.cityoforoville.org/government/agendas-minutes,JF - No,,,,,,,,TBD,,,
Butte,Paradise,,City Council,0,,2nd Tuesday,https://www.townofparadise.com/meetings,,,,,,,,,No,,,
Butte,Chico,,Planning Commission,3488,,"1st Thursday, 3rd Thursday",http://chico-ca.granicus.com/ViewPublisher.php?view_id=2,JF - No,,,,,,,,,,,
Butte,Butte County,,Board of Supervisors,3788,,"2nd Tues, 4th Tues",https://www.buttecounty.net/335/Board-of-Supervisors-Meeting-Information,,,,,,,,no,No,Yes,LTR,
Butte,Butte County,,Planning Commission,3788,,"2nd Thurs, 4th Thurs",https://www.buttecounty.net/543/Planning-Commission-PC,,,,,,,,,Cancelled,No,SD,
Contra Costa,Pinole,,City Council,505,,"1st Tuesday, 3rd Tuesday","https://www.ci.pinole.ca.us/cms/one.aspx?pageId=14626563 
https://www.pinole.gov/city-government/city-council/meeting-agendas/",JF - No,,,,,,Joe - no meeting,,,,,
Contra Costa,Clayton,,City Council,570,,"1st Tuesday, 3rd Tuesday","https://ci.clayton.ca.us/city-clerk-department/city-council/city-council-agendas/
https://www.pinole.gov/city-government/city-council/meeting-agendas/",JF - TBD,,,,,,,,,,,
Contra Costa,Clayton,,Planning Commission,570,,"2nd Tuesday, 4th Tuesday",https://claytonca.gov/government/commissions-and-committees/#pc-desc,,,,,,,,No,Cancelled,No,SD,
Contra Costa,Hercules,,Planning Commission,736,,"1st Monday, 3rd Monday",https://hercules.legistar.com/Calendar.aspx,JF - Cancelled,,,,,,,,,,,
Contra Costa,San Pablo,,City Council,752,,"1st Monday, 3rd Monday",https://www.sanpabloca.gov/1400/City-CouncilLSA-Planning-Comm-AgendasMin,JF - No,,,,,,,,,,,
Contra Costa,San Pablo,,Planning Commission,752,,4th Tuesday,https://sanpablo.legistar.com/Calendar.aspx,,,,,,,,No,,Yes,SD,
Contra Costa,Oakley,,City Council,1069,,"2nd Tuesday, 4th Tuesday",https://www.ci.oakley.ca.us/agendas-minutes-videos-archive/,,,,,,,,No,No,Yes,SD,
Contra Costa,Moraga,A,Planning Commission/Design Review Board,1118,,"1st, 3rd Tues",https://www.moraga.ca.us/AgendaCenter/Planning-Commission-9,JF - Cancelled,,,,,,,,,,,
Contra Costa,Moraga,A,Town Council,1118,,"2nd Wednesday, 4th Wednesday",https://www.moraga.ca.us/AgendaCenter/,,,,,,,,,No,No,SD,
Contra Costa,Martinez,,City Council,1358,,"1st Wednesday, 3rd Wednesday",https://www.cityofmartinez.org/gov/meetings.asp,JF - Cancelled,,,,,,,,,,,
Contra Costa,Orinda,A,City Council,1359,,"1st Tuesday, 3rd Tuesday",http://orindaca.iqm2.com/Citizens/Board/1000-City-Council,JF - No,,,,,,,,,,,
Contra Costa,Orinda,A,Planning Commission,1359,,"2nd Tuesday, 4th Tuesday",http://orindaca.iqm2.com/Citizens/Default.aspx,,,,,,,,No,No,No,SD,
Contra Costa,El Cerrito,,City Council,1404,,"1st Tuesday, 3rd Tuesday",http://ca-elcerrito2.civicplus.com/482/Council-Meeting-Videos-Materials,JF - Cancelled,,,,,,,,,,,
Contra Costa,El Cerrito,,Planning Commission,1404,,3rd Wednesday,https://www.el-cerrito.org/Archive.aspx?AMID=45,,,,,,,,,,,,
Contra Costa,Brentwood,,Planning Commission,1536,,"1st Tuesday, 3rd Tuesday",https://www.brentwoodca.gov/government/city-manager/city-clerk/council-meetings-online,JF - No,,,,,,,,,,,
Contra Costa,Pleasant Hill,,City Council,1623,,"1st Monday, 3rd Monday",https://www.ci.pleasant-hill.ca.us/Archive.aspx?AMID=30,JF - No,,,,,,,,,,,
Contra Costa,Pleasant Hill,,Planning Commission,1623,,"2nd Tuesday, 4th Tuesday",https://www.ci.pleasant-hill.ca.us/Archive.aspx?AMID=32&Type=&ADID=,,,,,,,,No - cancelled,Cancelled,No,SD,
Contra Costa,Pittsburg,,City Council,2036,,"1st Monday, 3rd Monday",http://www.ci.pittsburg.ca.us/index.aspx?page=534,JF - Yes,,,,,,,,,,,
Contra Costa,Pittsburg,,Planning Commission,2036,,"2nd Tuesday, 4th Tuesday",https://onbaseweb.pittsburgca.gov/OnBaseAgendaOnline,,,,,,,,Yes,No,No,AS,
Contra Costa,Lafayette,A,GPAC,2114,,3rd Tuesday,https://www.planlafayette.org/get-involved,,,,,,,,,,,,
Contra Costa,Lafayette,A,City Council,2114,,"2nd Monday, 4th Monday",https://www.lovelafayette.org/city-hall/city-council/city-council-meetings,,,,,,,,,No,Yes,AS,
Contra Costa,Lafayette,,Planning Commission,2114,,"1st Monday, 3rd Monday",https://www.lovelafayette.org/city-hall/commissions-committees/planning-commission,JF - Cancelled,,,,,,,,,,,
Contra Costa,Danville,,City Council,2241,,"1st Tuesday, 3rd Tuesday",https://www.danville.ca.gov/129/Agendas-Minutes,JF - No,,,,,,,,,,,
Contra Costa,Antioch,,Planning Commission,3046,,"1st Wednesday, 3rd Wednesday",https://www.antiochca.gov/government/agendas-and-minutes/planning-commission/,JF - Cancelled,,,,,,,,,,,
Contra Costa,Antioch,,City Council,3046,,"2nd Tuesday, 4th Tuesday",https://www.antiochca.gov/government/agendas-and-minutes/city-council/,,,,,,,,,No,,,
Contra Costa,Richmond,,Planning Commission,3645,,"1st Thursday, 3rd Thursday",http://www.ci.richmond.ca.us/2864/Planning-Commission,JF - No,,,,,,,,,,,
Contra Costa,Richmond,,City Council,3645,,"1st Tuesday, 3rd Tuesday, 4th Tuesday",https://www.ci.richmond.ca.us/151/Council-Agenda-Documents,JF - No,,,,,,,,,,,
Contra Costa,San Ramon,,Planning Commission,5111,,"1st Tuesday, 3rd Tuesday",http://sanramonca.iqm2.com/Citizens/Board/1015-Planning-Commission,JF - Cancelled,,,,,,,,,,,
Contra Costa,San Ramon,,City Council,5111,,"2nd Tuesday, 4th Tuesday",http://sanramonca.iqm2.com/citizens/default.aspx?,,,,,,,,,No,,,
Contra Costa,Concord,,Planning Commission,5121,,"1st Wednesday, 3rd Wednesday",https://stream.ci.concord.ca.us/OnBaseAgendaOnline/Meetings/Search?dropid=11&mtids=107&dropsv=01%2F01%2F2021%2000%3A00%3A00&dropev=12%2F31%2F2050%2000%3A00%3A00,JF - TBD,,,,,,,,,,,
Contra Costa,Concord,,City Council,5121,,"2nd Tuesday, 4th Tuesday",https://stream.ci.concord.ca.us/OnBaseAgendaOnline/Meetings/Search?dropid=4,,,,,,,,,Yes,,,
Contra Costa,Walnut Creek,,City Council,5866,,"1st Tuesday, 3rd Tuesday",https://www.walnut-creek.org/government/public-meeting-agendas-and-videos,JF - Cancelled,,,,,,,,,,,
Contra Costa,Clayton,,Planning Commission,570,,"2nd Tuesday, 4th Tuesday",https://claytonca.gov/government/commissions-and-committees/,,,,,,,,,Cancelled,,,
Contra Costa,Moraga,,City Council,1118,,Varies,https://www.moraga.ca.us/AgendaCenter,JF - No,JF - No,JF - Cancelled,LTR - no,,,,,,,,
Contra Costa,Martinez,,City Council,1358,,"1st Wednesday, 3rd Wednesday",https://www.cityofmartinez.org/government/meetings-and-agendas,JF - No,,,,,,,,,,,
Contra Costa,Orinda,,City Council,1359,,Varies,https://www.cityoforinda.org/393/City-Council-Agendas-and-Minutes,JF - No,OG - No,JF - No,LTR - no,,,,,,,,
Contra Costa,El Cerrito,,City Council,1404,,Varies,https://www.el-cerrito.org/698/Agendas-Minutes,JF - No,OG - No,JF - No,,,,,,,,,
Contra Costa,Pleasant Hill,,City Council,1623,,Varies,https://www.pleasanthillca.gov/277/Agendas,JF - No,OG - No,JF - No,,,,,,,,,
Contra Costa,Lafayette,,City Council,2114,,Varies,https://www.lovelafayette.org/city-hall/city-council/city-council-meetings,JF - No,OG - No,JF - No,,,,,,,,,
Contra Costa,Danville,,City Council,2241,,Varies,https://www.danville.ca.gov/129/Meetings-Agendas-Minutes,JF - No,OG - No,JF - No,,,,,,,,,
Contra Costa,San Ramon,,City Council,5111,,Varies,https://www.sanramon.ca.gov/how_do_i_/get_involved/official,JF - No,OG - No,JF - No,,,,,,,,,
Contra Costa,Concord,,City Council,5121,,Varies,https://www.cityofconcord.org/965/Public-Meetings-and-Agendas,JF - No,OG - No,JF - No,,,,,,,,,
Contra Costa,Walnut Creek,,City Council,5866,,Varies,https://www.walnutcreekca.gov/government/public-meeting-agendas-and-videos/public-meeting-schedule,JF - No,JF - Yes,JF - No,,,,,,,,,
Del Norte,Crescent City,,City Council,0,,"1st Monday, 3rd Monday",https://www.crescentcity.org/meetings,JF - No,,,,,,,,,,,
Del Norte,Crescent City,,Planning Commission,0,,2nd Thursday,https://crescentcity.org/plancomm.html,,,,,,,,,TBD,,,
Del Norte,Del Norte County,,Board of Supervisors,386,,"2nd Tues, 4th Tues",https://delnortecoca.portal.civicclerk.com/,,,,,,,,,,,,
Del Norte,Del Norte County,,Planning Commission,386,,1st Wed,"County of Del Norte, California - Planning Commission (del-norte.ca.us)",JF- Yes,,,,But this is a one story single family home so we don't want to be involved.,,,,,,,
El Dorado,Placerville,Adopted/Out,Planning Commission,259,Adopted/Out,"1st Tuesday, 3rd Tuesday",https://www.cityofplacerville.org/pc-meetings,JF - TBD,,,,,,,,,,,
El Dorado,Placerville,,City Council,259,Adopted/Out,"2nd Tuesday, 4th Tuesday",https://www.cityofplacerville.org/city-council-agenda,,,,,,,,,,,,
El Dorado,South Lake Tahoe,,City Council,289,,2nd Tuesday,https://cityofslt.us/80/City-Council,,,,,,,,,,,,
El Dorado,South Lake Tahoe,,Planning Commission,289,,3rd Thursday,http://cityofslt.us/114/Planning-Commission,,,,,,,,,,,,
Fresno,Clovis,,City Council,0,,Monday irregularly,https://cityofclovis.com/government/city-council/city-council-agendas/,,,,,,,,,,,,
Fresno,Clovis,,Planning Commission,0,,4th Thursday,https://cityofclovis.com/planning-and-development/planning/planning-commission/planning-commission-agendas/,,,,,,,,,,,,
Fresno,Coalinga,,City Council,0,,"1st Thursday, 2nd Thursday",https://www.coalinga.com/AgendaCenter/City-Council-5,JF - No,,,,,,,,,,,
Fresno,Coalinga,,Planning Commission,0,,"2nd Tuesday, 4th Tuesday",https://www.coalinga.com/AgendaCenter/Planning-Commission-4,,,,,,,,,,,,
Fresno,Firebaugh,,City Council,0,,3rd Monday,https://firebaugh.org/meetingsagendas/,,,,,,,,,,,,
Fresno,Fowler,,Planning Commission,0,,1st Thursday,http://fowlercity.org/agendas-minutes/,JF - Cancelled,,,,,,,,,,,
Fresno,Fresno,A,City Council,0,,Variable,https://fresno.primegov.com/public/portal,,,JF - TBD,,,,,,,,,
Fresno,Fresno,A,Planning Commission,0,,"1st Wednesday, 3rd Wednesday",https://fresno.legistar.com/DepartmentDetail.aspx?ID=24452&GUID=26F8DAF5-AC08-46BE-A9E4-EC0C6DDC0F66&Search=,JF - No,,,,,,,,,,,
Fresno,Huron,,City Council,0,,"1st Wednesday, 3rd Wednesday",http://cityofhuron.com/meeting-agenda-and-minutes/,JF - TBD,,,,,,,,,,,
Fresno,Kerman,,Planning Commission,0,,2nd Monday,https://cityofkerman.net/planning-commission-meeting-agendas-minutes/,,,,,,,,,,,,
Fresno,Kerman,,City Council,0,,"2nd Wednesday, 4th Wednesday",https://cityofkerman.net/city-council-meeting-agendas-minutes/,,,,,,,,,,,,
Fresno,Kingsburg,,City Council,0,,"1st Wednesday, 3rd Wednesday",https://cityofkingsburg-ca.gov/AgendaCenter/City-Council-9,JF - No,,,,,,,,,,,
Fresno,Kingsburg,,Planning Commission,0,,2nd Thursday,https://cityofkingsburg-ca.gov/AgendaCenter/Planning-Commission-8,,,,,,,,,,,,
Fresno,Mendota,,City Council,0,,"2nd Tuesday, 4th Tuesday",http://ci.mendota.ca.us/agendas-and-minutes/,,,,,,,,,,,,
Fresno,Mendota,,Planning Commission,0,,3rd Tuesday,http://ci.mendota.ca.us/planning-commission-agendas-and-minutes/,,,,,,,,,,,,
Fresno,Orange Cove,,City Council,0,,"2nd Wednesday, 4th Wednesday",http://cityoforangecove.com/agendas/,,,,,,,,,,,,
Fresno,Orange Cove,,Planning Commission,0,,Variable,http://cityoforangecove.com/planning-commission/,,,JF - TBD,,,,,,,,,
Fresno,Parlier,,City Council,0,,"1st Thursday, 3rd Thursday",http://parlier.ca.us/agendas/,JF - No,,,,,,,,,,,
Fresno,Reedley,,Planning Commission,0,,"1st Thursday, 3rd Thursday",https://reedley.ca.gov/boards-commissions/planning-commission/planning-commission-agendas-minutes/,JF - TBD,,,,,,,,,,,
Fresno,Reedley,,City Council,0,,"2nd Tuesday, 4th Tuesday",https://reedley.ca.gov/city-council/city-council-agendas/,,,,,,,,,,,,
Fresno,San Joaquin,,City Council,0,,1st Tuesday,http://www.cityofsanjoaquin.org/government.html,JF - No,,,,,,,,,,,
Fresno,Sanger,,City Council,0,,"1st Thursday, 3rd Thursday",https://www.ci.sanger.ca.us/AgendaCenter,JF - Cancelled,,,,,,,,,,,
Fresno,Sanger,,Planning Commission,0,,4th Thursday,https://www.ci.sanger.ca.us/AgendaCenter/Planning-Commission-3,,,,,,,,,,,,
Fresno,Selma,,City Council,0,,"1st Monday, 3rd Monday",https://www.cityofselma.com/government/city_council/council_meetings___agendas.php,JF - No,,,,,,,,,,,
Fresno,Selma,,Planning Commission,0,,4th Monday,http://www.cityofselma.com/council/commissions/comm_records.htm#planningcommission,,,,,,,,,,,,
Fresno,Fresno,A,City Council,0,,Varies,https://fresno.legistar.com/Calendar.aspx,JF - No,JF - Yes,JF - No,,,,,,,,,
Fresno,Selma,,Planning Commission,0,,4th Monday,"City of Selma, CA",,,,,,,,,,,,
Glenn,Willows,,City Council,185,,"2nd Tuesday, 4th Tuesday",https://www.cityofwillows.org/dept/city-council/city-clerk/city-council-meetings,,,,,,,,,,,,
Glenn,Willows,,Planning Commission,185,,3rd Wednesday,https://www.cityofwillows.org/dept/community-development-services-department/planning/planning-commission-meetings,,,,,,,,,,,,
Glenn,Orland,,City Council,247,,"1st Monday, 3rd Monday",https://www.cityoforland.com/minutes-agendas/,JF - TBD,,,,,,,,,,,
Humboldt,Trinidad,,City Council,18,,2nd Tuesday,https://trinidad.ca.gov/documents,,,,,,,,,,,,
Humboldt,Blue Lake,,Planning Commission,23,,3rd Monday,https://bluelake.ca.gov/city-council/council-commissions/planning-commission/,,,,,,,,,,,,
Humboldt,Blue Lake,,City Council,23,,4th Tuesday,https://bluelake.ca.gov/city-council/agendas-minutes/,,,,,,,,,,,,
Imperial,Westmorland,,City Council,33,,"1st Wednesday, 3rd Wednesday",https://www.cityofwestmorland.net/city-clerk/agendas-&-minutes/2021-agendas-&-minutes/,JF - TBD,,,,,,,,,,,
Imperial,Calipatria,,City Council,151,Adopted/Out,"2nd Tuesday, 4th Tuesday",http://www.calipatria.com/council/agendas-&-minutes/,,,,,,,,,,,,
Imperial,Holtville,,City Council,171,Adopted/Out,4th Monday,https://www.holtville.ca.gov/government/meetings/,,,,,,,,,,,,
Imperial,Brawley,,City Council,1423,,"1st Tuesday, 3rd Tuesday",http://www.brawley-ca.gov/section/City-Council/Agendas-and-Minutes,JF - TBD,,,,,,,,,,,
Imperial,Brawley,,Planning Commission,1423,,"1st Wednesday, 3rd Wednesday",http://www.brawley-ca.gov/section/Planning/Pc-Agenda-and-Minutes,JF - No,,,,,,,,,,,
Imperial,Imperial,,City Council,1597,,"1st Wednesday, 3rd Wednesay",https://www.cityofimperial.org/city-council-agenda-archive,JF - TBD,,,,,,,,,,,
Imperial,Imperial,,Planning Commission,1597,,"2nd Wednesday, 4th Wednesday",https://www.cityofimperial.org/planning-agenda-archive,,,,,,,,,,,,
Imperial,El Centro,,City Council,3433,,"1st Tuesday, 3rd Tuesday",https://cityofelcentro.org/cityclerk/meetings-agendas/,JF - No,,,,,,,,,,,
Imperial,El Centro,,Planning Commission,3433,,2nd Tuesday,http://elcentrocityca.iqm2.com/Citizens/calendar.aspx?View=List&From=1/1/2015&To=12/31/2015,,,,,,,,,,,,
Imperial,Calexico,,City Council,4856,,"1st Wednesday, 3rd Wednesday",https://www.calexico.ca.gov/councilagendas,JF - No,,,,,,,,,,,
Kern,Wasco,,City Council,1426,,"1st Tuesday, 3rd Tuesday","https://www.cityofwasco.org/AgendaCenter/Search/?term=&CIDs=2,&startDate=&endDate=&dateRange=&dateSelector=",JF - No,,,,,,,,,,,
Kern,Wasco,,Planning Commission,1426,,2nd Monday,"https://www.cityofwasco.org/AgendaCenter/Search/?term=&CIDs=3,&startDate=&endDate=&dateRange=&dateSelector=",,,,,,,,,,,,
Los Angeles,Vernon,,City Council,9,,"1st Tuesday, 3rd Tuesday",http://www.cityofvernon.org/government/public-meetings/city-council,JF - No,,,,,,,,,,,
Los Angeles,Industry,,City Council,17,,"2nd Thursday, 4th Thursday",https://www.cityofindustry.org/city-hall/city-council,,,,,,,,,,,,
Los Angeles,Industry,,Planning Commission,17,,2nd Tuesday,https://www.cityofindustry.org/city-hall/boards-commissions/planning-commission,,,,,,,,,,,,
Los Angeles,Avalon,,City Council,27,,"1st Tuesday, 3rd Tuesday",https://www.cityofavalon.com/129/Agendas-Minutes,JF - No,,,,,,,,,,,
Los Angeles,Avalon,,Planning Commission,27,,3rd Wednesday,http://www.cityofavalon.com/content/3180/3372/default.aspx,,,,,,,,,,,,
Los Angeles,Hidden Hills,,City Council,40,,"2nd Monday, 4th Monday",https://hiddenhillscity.org/city-council/live-and-archived-city-council-meeting-broadcasts/,,,,,,,,,,,,
Los Angeles,Bradbury,,City Council,41,,3rd Tuesday,https://www.cityofbradbury.org/city-hall/city-council/agendas-minutes,,,,,,,,,,,,
Los Angeles,Bradbury,,Planning Commission,41,,4th Wednesday,https://cityofbradbury.org/government/city_council/agendas___minutes.php,,,,,,,,,,,,
Los Angeles,Rolling Hills,A,City Council,45,,"2nd Monday, 4th Monday",https://www.rolling-hills.org/government/agenda/index.php,,,,,,,,,,YES,BO,
Los Angeles,Malibu,,Planning Commission,78,,"1st Monday, 3rd Monday",https://www.malibucity.org/AgendaCenter/Planning-Commission-4,JF - Cancelled,,,,,,,,,,,
Los Angeles,Malibu,,City Council,78,,"2nd Monday, 4th Monday",https://www.malibucity.org/AgendaCenter/City-Council-8,,,,,,,,,,NO,BO,
Los Angeles,Irwindale,,City Council,118,,"2nd Wednesday, 4th Wednesday",https://ca-irwindale2.civicplus.com/AgendaCenter/City-Council-1,,,,,,,,,,cancelled?  no agenda,BO,
Los Angeles,Irwindale,,Planning Commission,118,,3rd Wednesday,https://www.irwindaleca.gov/AgendaCenter/Planning-Commission-3,,,,,,,,,,,,
Los Angeles,Westlake Village,,City Council,142,,"2nd Wednesday, 4th Wednesday",http://westlakevillage.granicus.com/viewpublisher.php?view_id=8,,,,,,,,,,no,BO,
